	W	Reject null hypothesis
d__Bacteria;p__Armatimonadota;c__uncultured;o__uncultured;f__uncultured;g__uncultured;__	5	True
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;__	5	True
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata;__	5	True
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula;__	5	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__uncultured;s__Sphingobacterium_jejuense	5	True
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Desemzia;__	5	True
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__	5	True
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;s__Arenimicrobium_luteum	5	True
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade;g__KI89A_clade;__	5	True
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella;__	5	True
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Ruminobacter;s__gut_metagenome	5	True
d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group;g__S0134_terrestrial_group;s__uncultured_bacterium	5	True
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Roseimicrobium;s__metagenome	5	True
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__;__	5	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Vitellibacter;__	5	True
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13;g__PLTA13;__	4	True
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix_PCC-6303;s__Calothrix_desertica	4	True
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured;s__uncultured_microorganism	4	True
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;__	4	True
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__uncultured;f__uncultured;g__uncultured;s__uncultured_bacterium	4	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;__	4	True
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UTCFX1;__	4	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured;__	4	True
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__W5053;s__uncultured_bacterium	4	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Indibacter;s__Cyclobacterium_sp.	4	True
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__;__	4	True
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__uncultured;s__uncultured_bacterium	4	True
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales;__	4	True
d__Bacteria;p__Gemmatimonadota;c__AKAU4049;o__AKAU4049;f__AKAU4049;g__AKAU4049;__	4	True
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;__	4	True
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;__	4	True
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Paenalcaligenes;__	4	True
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190;__	4	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphobaculum;__	4	True
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;__	4	True
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;__;__	4	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Pontibacter;__	4	True
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__uncultured_anaerobic	3	True
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured;g__uncultured;s__uncultured_Chloroflexi	3	True
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group;s__uncultured_Clostridiales	3	True
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66;g__JG30-KF-CM66;s__uncultured_Chloroflexi	3	True
d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group;g__S0134_terrestrial_group;s__uncultured_soil	3	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium_alimentarium	3	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-40_aquatic_group;g__ML635J-40_aquatic_group;s__uncultured_Sphingobacteriia	3	True
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Breznakia;s__uncultured_bacterium	3	True
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group;__	3	True
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__uncultured;s__uncultured_Actinomycetales	3	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__uncultured;s__uncultured_Porphyromonadaceae	3	True
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Pusillimonas;__	3	True
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;__	3	True
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;__	3	True
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__;__	3	True
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;__	3	True
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;__	3	True
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__Ardenticatenaceae;g__uncultured;s__metagenome	3	True
